07-16 16:05:17: Training starting...
07-16 16:05:18: New best reward 27.0 (-100.0%) at episode 0, saving model...
07-16 16:05:18: New best reward 28.0 (+3.7%) at episode 5, saving model...
07-16 16:05:18: New best reward 30.0 (+7.1%) at episode 8, saving model...
07-16 16:05:18: New best reward 37.0 (+23.3%) at episode 18, saving model...
07-16 16:05:18: New best reward 38.0 (+2.7%) at episode 28, saving model...
07-16 16:05:18: New best reward 50.0 (+31.6%) at episode 36, saving model...
07-16 16:05:20: New best reward 57.0 (+14.0%) at episode 89, saving model...
07-16 16:05:20: New best reward 87.0 (+52.6%) at episode 101, saving model...
07-16 16:05:24: New best reward 101.0 (+16.1%) at episode 1687, saving model...
07-16 16:05:24: New best reward 169.0 (+67.3%) at episode 1714, saving model...
